stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
67079,901850,DEFOOR AVE NW@DAVIS ST NW,0 DEFOOR AVE NW & DAVIS ST NW,33.804807,-84.423031,,,,
67080,901851,DEFOOR AVE NW@MANTISSA ST NW,0 DEFOOR & MANTISSA,33.806103,-84.424683,,,,
67082,901852,DEFOOR AVE NW@1981,,33.809726,-84.426497,,,,
67084,901897,DEFOOR AVE NW@COLLIER RD NW,0 DEFOOR & COLLIER,33.810989,-84.426689,,,,
67086,901902,DEFOORS FERRY RD @ GLENN AVE,DEFOORS FERRY RD NW & GLENN AVE NW,33.812797,-84.425424,,,,
67124,902072,HUFF RD NW@EARNEST ST NW,0 HUFF & EARNEST,33.787997,-84.415458,,,,
67126,902119,HUFF RD NW@BOYD AVE NW,0 HUFF & BOYD,33.789554,-84.419086,,,,
67128,902120,HUFF RD NW@ENGLISH ST NW,0 HUFF & ENGLISH,33.78963,-84.420887,,,,
67130,902125,HUFF RD NW@FAIRMONT AVE NW,0 HUFF & FAIRMONT,33.789622,-84.422085,,,,
67132,902126,HUFF RD NW@MENLO DR NW,0 HUFF & MENLO,33.789433,-84.424117,,,,
67134,902127,HUFF RD NW@ELLSWORTH DR NW,0 HUFF RD NW & ELLSWORTH DR NW,33.788908,-84.426328,,,,
67135,902128,ELLSWORTH DR@1320,,33.791051,-84.427208,,,,
67136,902229,ELLSWORTH DR NW@1320,,33.791026,-84.426922,,,,
67137,902230,ELLSWORTH DR NW@ELAINE AVE NW,0 ELLSWORTH & ELAINE,33.792651,-84.426788,,,,
67138,902294,ELLSWORTH DR NW@1425,,33.793823,-84.426757,,,,
67140,902295,ELLSWORTH DR NW@1455,,33.7958,-84.426763,,,,
67142,902296,ELLSWORTH DR NW@1530,,33.797309,-84.426915,,,,
67146,901452,CHATTAHOOCHEE AVE NW@PERMALUME PL N,0 CHATTAHOOCHEE AVE NW & PERMALUME PL,33.801552,-84.429739,,,,
67147,901453,ELLSWORTH DR@OLD CHATTAHOOCHEE AVE,0 ELLSWORTH & OLD CHATTAHOOCHEE,33.800198,-84.426944,,,,
67148,901454,CHATTAHOOCHEE AVE NW@CARROLL DR NW,0 CHATTAHOOCHEE & CARROLL,33.803164,-84.431931,,,,
67149,901455,CHATTAHOOCHEE AVE@1391,,33.804464,-84.433268,,,,
67150,901448,CHATTAHOOCHEE AVE NW@LOGAN CIR NW,0 CHATTAHOOCHEE & LOGAN,33.804869,-84.433704,,,,
67152,901449,CHATTAHOOCHEE AVE NW@1417,,33.806279,-84.434291,,,,
67154,901450,CHATTAHOOCHEE AVE NW@COLLIER RD NW,0 CHATTAHOOCHEE & COLLIER,33.808054,-84.43504,,,,
67157,901451,CHATTAHOOCHEE AVE@1495,,33.809388,-84.43706,,,,
67158,901456,CHATTAHOOCHEE AVE NW@MARIETTA BLVD,0 CHATTAHOOCHEE & MARIETTA,33.810557,-84.43874,,,,
67160,901457,MARIETTA BLVD@2095,,33.813314,-84.439355,,,,
67161,901458,MARIETTA BLVD@BOLTON DR,0 MARIETTA & BOLTON,33.814265,-84.440179,,,,
