stop_id,stop_code,stop_name,stop_lat,stop_lon
151132,151132,REDFORD DR SE@FORREST PARK RD SE,33.688624,-84.359816
151134,151134,REDFORD DR SE@955,33.688451,-84.35811
151144,151144,REDFORD DR SE@REBEL FOREST DR SE,33.686264,-84.355156
158258,158258,CENTRAL AVE@PERKINS ST,33.658089,-84.408044
158260,158260,CENTRAL AVE@FULTON AVE,33.658646,-84.408952
99312,900224,LUCILE AVE SW@ALTOONA PL SW,33.742336,-84.435295
128020,128020,FLINTWOOD DR SE@FLAGSTONE DR,33.71035,-84.31503
128030,128030,BRANNEN RD SE@2190,33.715183,-84.315422
128032,128032,BRANNEN RD SE@2154,33.71506,-84.31747
128034,128034,BRANNEN RD SE@FLAGSTONE DR,33.71483,-84.31927
128036,128036,BRANNEN RD SE@ROCKCLIFF RD,33.71486,-84.32018
128048,128048,BOULDERCREST DR@FAYETTEVILLE RD,33.719403,-84.330026
129954,129954,HABERSHAM DR@GREYSTONE WAY,33.725023,-84.288184
129956,129956,FLAT SHOALS RD@SHAWN WAYNE CT,33.720165,-84.311951
129958,129958,FLAT SHOALS RD@SHAWN WAYNE CT,33.720492,-84.311699
130012,130012,MIRIAM LN @ VALLEY RIDGE DR,33.72024,-84.26806
130016,130016,MIRIAM LN@2658,33.72026,-84.27142
133015,133015,FAIRINGTON RD@CHUPP WAY,33.701894,-84.147674
133016,133016,HILLANDALE DR@FAIRINGTON RD,33.703789,-84.145561
133018,133018,FAIRINGTON RD@PANOLA RD,33.70122,-84.1701
133020,133020,HILLANDALE DR@6136,33.705959,-84.140274
138098,138098,PRYOR RD SW@THORNTON ST SW,33.711675,-84.393469
138100,138100,LAKEWOOD AVE@SHADYDALE AVE,33.701912,-84.385002
138102,138102,LAKEWOOD AVE@CLAIRE DR,33.705212,-84.380524
138104,138104,LAKEWOOD AVE@ADAIR AVE,33.706348,-84.380363
139004,139004,LAKEWOOD AVE SE@CLAIRE DR SE,33.70525,-84.380257
139006,139006,LAKEWOOD AVE SE@ADAIR AVE SE,33.705954,-84.379953
